topic,publication_count,percentage
Design Education and Practice,10,0.02
Political Conflict and Governance,10,0.02
Diverse Scientific and Economic Studies,10,0.02
Critical Race Theory in Education,10,0.02
"Crime, Illicit Activities, and Governance",10,0.02
Public Health Policies and Education,10,0.02
Developmental Biology and Gene Regulation,10,0.02
Protein Interaction Studies and Fluorescence Analysis,10,0.02
Primate Behavior and Ecology,10,0.02
Iterative Methods for Nonlinear Equations,10,0.02
Rare-earth and actinide compounds,10,0.02
Icing and De-icing Technologies,10,0.02
Combustion and flame dynamics,10,0.02
Complementary and Alternative Medicine Studies,10,0.02
Concrete Properties and Behavior,10,0.02
Reading and Literacy Development,10,0.02
Iron and Steelmaking Processes,10,0.02
Retinopathy of Prematurity Studies,10,0.02
Collagen: Extraction and Characterization,10,0.02
Accounting and Organizational Management,10,0.02
3D Modeling in Geospatial Applications,10,0.02
Acupuncture Treatment Research Studies,10,0.02
Management Theory and Practice,10,0.02
Higher Education Governance and Development,10,0.02
Magnesium in Health and Disease,10,0.02
Growth Hormone and Insulin-like Growth Factors,10,0.02
Gun Ownership and Violence Research,10,0.02
Maritime Transport Emissions and Efficiency,10,0.02
Hematological disorders and diagnostics,10,0.02
Heart rate and cardiovascular health,10,0.02
Material Properties and Applications,10,0.02
Historical and Contemporary Political Dynamics,10,0.02
Mobile Learning in Education,10,0.02
Mind wandering and attention,10,0.02
Geotechnical Engineering and Analysis,10,0.02
Multisensory perception and integration,10,0.02
Gambling Behavior and Treatments,10,0.02
Geographies of human-animal interactions,10,0.02
Geographic Information Systems Studies,10,0.02
Microwave Dielectric Ceramics Synthesis,10,0.02
Nanofabrication and Lithography Techniques,10,0.02
Mycotoxins in Agriculture and Food,10,0.02
Fungal and yeast genetics research,10,0.02
Nuclear Engineering Thermal-Hydraulics,10,0.02
Nonlinear Differential Equations Analysis,10,0.02
Family and Patient Care in Intensive Care Units,10,0.02
"Law, Economics, and Judicial Systems",10,0.02
Occupational Health and Performance,10,0.02
Numerical methods in inverse problems,10,0.02
Ocean Waves and Remote Sensing,10,0.02
Ocular Oncology and Treatments,10,0.02
Health and Conflict Studies,10,0.02
Maternal and Neonatal Healthcare,10,0.02
Mathematical Biology Tumor Growth,10,0.02
Gynecological conditions and treatments,10,0.02
Health and Wellbeing Research,10,0.02
Advanced Welding Techniques Analysis,9,0.02
Web Data Mining and Analysis,9,0.02
Vascular Procedures and Complications,9,0.02
Business Strategies and Management Research,9,0.02
Subcritical and Supercritical Water Processes,9,0.02
Auction Theory and Applications,9,0.02
Statistics Education and Methodologies,9,0.02
Sports Analytics and Performance,9,0.02
Statistical Mechanics and Entropy,9,0.02
Bioactive natural compounds,9,0.02
Bone and Joint Diseases,9,0.02
Artificial Intelligence in Law,9,0.02
Artificial Immune Systems Applications,9,0.02
Assistive Technology in Communication and Mobility,9,0.02
Sustainability and Ecological Systems Analysis,9,0.02
International Relations and Foreign Policy,9,0.02
Infectious Diseases and Mycology,9,0.02
Advanced Data and IoT Technologies,9,0.02
Advanced Semiconductor Detectors and Materials,9,0.02
Trauma Management and Diagnosis,9,0.02
Agroforestry and silvopastoral systems,9,0.02
Urban Planning and Governance,9,0.02
Algebraic structures and combinatorial models,9,0.02
Analytical Methods in Pharmaceuticals,9,0.02
Topological and Geometric Data Analysis,9,0.02
Syphilis Diagnosis and Treatment,9,0.02
Architecture and Computational Design,9,0.02
School Health and Nursing Education,9,0.02
Science and Climate Studies,9,0.02
Semiconductor Lasers and Optical Devices,9,0.02
Child Therapy and Development,9,0.02
Career Development and Diversity,9,0.02
Social Science and Policy Research,9,0.02
Caveolin-1 and cellular processes,9,0.02
Interpreting and Communication in Healthcare,9,0.02
"Philosophy, Science, and History",9,0.02
Electrolyte and hormonal disorders,9,0.02
Policy Transfer and Learning,9,0.02
Pleural and Pulmonary Diseases,9,0.02
Human Health and Disease,9,0.02
Human Resource and Talent Management,9,0.02
History and Theory of Mathematics,9,0.02
Laser Applications in Dentistry and Medicine,9,0.02
Plant Physiology and Cultivation Studies,9,0.02
Radiation Effects in Electronics,9,0.02
"Psychopathy, Forensic Psychiatry, Sexual Offending",9,0.02
Robotic Mechanisms and Dynamics,9,0.02
Rock Mechanics and Modeling,9,0.02
Salivary Gland Tumors Diagnosis and Treatment,9,0.02
"Identity, Memory, and Therapy",9,0.02
School Choice and Performance,9,0.02
Credit Risk and Financial Regulations,9,0.02
Polynomial and algebraic computation,9,0.02
Political and Economic history of UK and US,9,0.02
Psychoanalysis and Social Critique,9,0.02
Psychological and Temporal Perspectives Research,9,0.02
Diverse Education Studies and Reforms,9,0.02
Phytochemical compounds biological activities,9,0.02
Physical Education and Pedagogy,9,0.02
"Environmental, Ecological, and Cultural Studies",9,0.02
Entomopathogenic Microorganisms in Pest Control,9,0.02
Environmental Philosophy and Ethics,9,0.02
Optimization and Search Problems,9,0.02
Emotional Intelligence and Performance,9,0.02
Pancasila Values in Education,9,0.02
Music Therapy and Health,9,0.02
Geothermal Energy Systems and Applications,9,0.02
Nursing Diagnosis and Documentation,9,0.02
Occupational and environmental lung diseases,9,0.02
Nuclear materials and radiation effects,9,0.02
Ocular Diseases and Behçet’s Syndrome,9,0.02
NMR spectroscopy and applications,9,0.02
Game Theory and Applications,9,0.02
Motor Control and Adaptation,9,0.02
Multilevel Inverters and Converters,9,0.02
Mineral Processing and Grinding,9,0.02
Mine drainage and remediation techniques,9,0.02
German Social Sciences and History,9,0.02
Lichen and fungal ecology,9,0.02
Management and Optimization Techniques,9,0.02
"Graphite, nuclear technology, radiation studies",9,0.02
Health and Lifestyle Studies,9,0.02
Magnetic confinement fusion research,9,0.02
Higher Education and Employability,9,0.02
Hip disorders and treatments,9,0.02
Magnetic Properties and Applications,9,0.02
Higher Education Practises and Engagement,9,0.02
Workplace Violence and Bullying,9,0.02
Local Government Finance and Decentralization,9,0.02
Acne and Rosacea Treatments and Effects,9,0.02
Working Capital and Financial Performance,9,0.02
Abdominal Surgery and Complications,8,0.02
Sexual function and dysfunction studies,8,0.02
Near-Field Optical Microscopy,8,0.02
Fish Biology and Ecology Studies,8,0.02
Advanced Optical Network Technologies,8,0.02
Advanced Numerical Methods in Computational Mathematics,8,0.02
Advanced Measurement and Metrology Techniques,8,0.02
"Linguistics, Language Diversity, and Identity",8,0.02
Higher Education Research Studies,8,0.02
Vascular Tumors and Angiosarcomas,8,0.02
User Authentication and Security Systems,8,0.02
Web visibility and informetrics,8,0.02
Economic and Social Issues,8,0.02
Silicone and Siloxane Chemistry,8,0.02
Forensic Anthropology and Bioarchaeology Studies,8,0.02
Nasal Surgery and Airway Studies,8,0.02
Cervical and Thoracic Myelopathy,8,0.02
Cerebrovascular and genetic disorders,8,0.02
Cephalopods and Marine Biology,8,0.02
GNSS positioning and interference,8,0.02
Economic Sanctions and International Relations,8,0.02
Phytoplasmas and Hemiptera pathogens,8,0.02
Phytochemistry and Bioactivity Studies,8,0.02
Diverse Educational Innovations Studies,8,0.02
Potato Plant Research,8,0.02
Power System Reliability and Maintenance,8,0.02
French Urban and Social Studies,8,0.02
IoT-based Smart Home Systems,8,0.02
Edcuational Technology Systems,8,0.02
"Foucault, Power, and Ethics",8,0.02
Medical Malpractice and Liability Issues,8,0.02
Medical Case Reports and Studies,8,0.02
Translation Studies and Practices,8,0.02
Animal Nutrition and Physiology,8,0.02
Infection Control in Healthcare,8,0.02
Inorganic and Organometallic Chemistry,8,0.02
Educational Leadership and Innovation,8,0.02
Pharmaceutical Quality and Counterfeiting,8,0.02
Educational Strategies and Epistemologies,8,0.02
Demographic Trends and Gender Preferences,8,0.02
Mathematical and Theoretical Epidemiology and Ecology Models,8,0.02
Tuberous Sclerosis Complex Research,8,0.02
"Aging, Elder Care, and Social Issues",8,0.02
Markov Chains and Monte Carlo Methods,8,0.02
High Altitude and Hypoxia,8,0.02
"Hearing, Cochlea, Tinnitus, Genetics",8,0.02
Digital Radiography and Breast Imaging,8,0.02
Disability Education and Employment,8,0.02
Myofascial pain diagnosis and treatment,8,0.02
Scoliosis diagnosis and treatment,8,0.02
Scientific Measurement and Uncertainty Evaluation,8,0.02
Family Caregiving in Mental Illness,8,0.02
Aerosol Filtration and Electrostatic Precipitation,8,0.02
Hemostasis and retained surgical items,8,0.02
N-Heterocyclic Carbenes in Organic and Inorganic Chemistry,8,0.02
Urban Stormwater Management Solutions,8,0.02
Musculoskeletal Disorders and Rehabilitation,8,0.02
Digital Education and Society,8,0.02
Nonlinear Optical Materials Research,8,0.02
Gastrointestinal Bleeding Diagnosis and Treatment,8,0.02
"Dietetics, Nutrition, and Education",8,0.02
Mathematics Education and Pedagogy,8,0.02
Community Development and Social Impact,8,0.02
Consumer Packaging Perceptions and Trends,8,0.02
Composite Material Mechanics,8,0.02
Bluetooth and Wireless Communication Technologies,8,0.02
"Epistemology, Ethics, and Metaphysics",8,0.02
Constraint Satisfaction and Optimization,8,0.02
Optimal Experimental Design Methods,8,0.02
Religion and Society Interactions,8,0.02
Statistical Distribution Estimation and Applications,8,0.02
Religious Education and Schools,8,0.02
Construction Project Management and Performance,8,0.02
Berberine and alkaloids research,8,0.02
Xenotransplantation and immune response,8,0.02
Whipple's Disease and Interleukins,8,0.02
Microbial Metabolism and Applications,8,0.02
"Workaholism, burnout, and well-being",8,0.02
Lower Extremity Biomechanics and Pathologies,8,0.02
Plant and fungal interactions,8,0.02
Advanced Aircraft Design and Technologies,8,0.02
Lymphadenopathy Diagnosis and Analysis,8,0.02
Ginger and Zingiberaceae research,8,0.02
"Migration, Ethnicity, and Economy",8,0.02
Stochastic processes and financial applications,8,0.02
Optical Coatings and Gratings,8,0.02
Botany and Plant Ecology Studies,8,0.02
Morphological variations and asymmetry,8,0.02
HIV/AIDS Impact and Responses,8,0.02
Cognitive Science and Education Research,8,0.02
Cognitive Functions and Memory,8,0.02
Superconductivity in MgB2 and Alloys,8,0.02
Rough Sets and Fuzzy Logic,8,0.02
Ruminant Nutrition and Digestive Physiology,8,0.02
Coffee research and impacts,8,0.02
COVID-19 Prevention and Impact,8,0.02
Superconducting and THz Device Technology,8,0.02
Numerical methods in engineering,8,0.02
Hygrothermal properties of building materials,8,0.02
Energetic Materials and Combustion,8,0.02
Coronary Artery Anomalies,8,0.02
Metal Forming Simulation Techniques,8,0.02
Globalization and Cultural Identity,8,0.02
Astronomical and nuclear sciences,8,0.02
Irrigation Practices and Water Management,8,0.02
"Culture, Economy, and Development Studies",8,0.02
Paranormal Experiences and Beliefs,8,0.02
History and Developments in Astronomy,8,0.02
Experimental and Theoretical Physics Studies,8,0.02
Cognitive and developmental aspects of mathematical skills,8,0.02
Case Reports on Hematomas,8,0.02
Electroconvulsive Therapy Studies,8,0.02
Synthetic Aperture Radar (SAR) Applications and Techniques,8,0.02
Criminal Justice and Corrections Analysis,8,0.02
Taxation and Compliance Studies,8,0.02
Team Dynamics and Performance,8,0.02
Legionella and Acanthamoeba research,8,0.02
Public Administration and Political Analysis,8,0.02
Customer churn and segmentation,8,0.02
Tensor decomposition and applications,8,0.02
Organ Donation and Transplantation,8,0.02
Oral health in cancer treatment,8,0.02
Congenital gastrointestinal and neural anomalies,8,0.02
Oral and gingival health research,8,0.02
Congenital Anomalies and Fetal Surgery,8,0.02
Traditional Chinese Medicine Analysis,7,0.01
Cybercrime and Law Enforcement Studies,7,0.01
Healthcare Systems and Challenges,7,0.01
Fuzzy Logic and Control Systems,7,0.01
Educational Challenges and Innovations,7,0.01
"Agriculture, Soil, Plant Science",7,0.01
Agriculture and Rural Development Research,7,0.01
Dermatological and Skeletal Disorders,7,0.01
Dam Engineering and Safety,7,0.01
Differential Equations and Numerical Methods,7,0.01
Science Education and Pedagogy,7,0.01
Family Dynamics and Relationships,7,0.01
Fatigue and fracture mechanics,7,0.01
"Science, Research, and Medicine",7,0.01
Scientific Research and Technology,7,0.01
Urban and Rural Development Challenges,7,0.01
Urbanization and City Planning,7,0.01
Histiocytic Disorders and Treatments,7,0.01
Hereditary Neurological Disorders,7,0.01
Tumors and Oncological Cases,7,0.01
Facial Nerve Paralysis Treatment and Research,7,0.01
"Diaspora, migration, transnational identity",7,0.01
Gas Dynamics and Kinetic Theory,7,0.01
Climate Change and Environmental Impact,7,0.01
Coding theory and cryptography,7,0.01
Clusterin in disease pathology,7,0.01
Hearing Loss and Rehabilitation,7,0.01
Advanced Machining and Optimization Techniques,7,0.01
Advanced Statistical Process Monitoring,7,0.01
Ion Channels and Receptors,7,0.01
Magnetic Properties of Alloys,7,0.01
Diverse Approaches in Healthcare and Education Studies,7,0.01
Chemical Analysis and Environmental Impact,7,0.01
Advanced Mathematical Theories,7,0.01
Advanced Mathematical Modeling in Engineering,7,0.01
Nanoporous metals and alloys,7,0.01
Wine Industry and Tourism,7,0.01
Chemotherapy-induced organ toxicity mitigation,7,0.01
Fecal contamination and water quality,7,0.01
Historical and modern epidemiology studies,7,0.01
Political Theology and Sovereignty,7,0.01
Fiscal Policies and Political Economy,7,0.01
Neurofibromatosis and Schwannoma Cases,7,0.01
Economics of Agriculture and Food Markets,7,0.01
Phonetics and Phonology Research,7,0.01
Education and Teacher Training,7,0.01
Posthumanist Ethics and Activism,7,0.01
Postharvest Quality and Shelf Life Management,7,0.01
Vector-borne infectious diseases,7,0.01
Urological Disorders and Treatments,7,0.01
Photonic Crystal and Fiber Optics,7,0.01
Urban Design and Spatial Analysis,7,0.01
Heat Transfer and Boiling Studies,7,0.01
Social Development and Education Research,7,0.01
Marine Sponges and Natural Products,7,0.01
Power Systems and Renewable Energy,7,0.01
Trypanosoma species research and implications,7,0.01
Education Practices and Challenges,7,0.01
Latin American and Latino Studies,7,0.01
IgG4-Related and Inflammatory Diseases,7,0.01
Ion Transport and Channel Regulation,7,0.01
"Business, Innovation, and Economy",7,0.01
Building materials and conservation,7,0.01
Organometallic Complex Synthesis and Catalysis,7,0.01
"Grouting, Rheology, and Soil Mechanics",7,0.01
Radio Wave Propagation Studies,7,0.01
CNS Lymphoma Diagnosis and Treatment,7,0.01
Counseling Practices and Supervision,7,0.01
Teleoperation and Haptic Systems,7,0.01
Sociopolitical Dynamics in Russia,7,0.01
Electrostatics and Colloid Interactions,7,0.01
Corruption and Economic Development,7,0.01
Moyamoya disease diagnosis and treatment,7,0.01
Expert finding and Q&A systems,7,0.01
Particle accelerators and beam dynamics,7,0.01
Teacher Professional Development and Motivation,7,0.01
Anorectal Disease Treatments and Outcomes,7,0.01
Psychology of Development and Education,7,0.01
Lexicography and Language Studies,7,0.01
Psychology of Social Influence,7,0.01
Electric Motor Design and Analysis,7,0.01
Efficiency Analysis Using DEA,7,0.01
Effects of Environmental Stressors on Livestock,7,0.01
Public Relations and Crisis Communication,7,0.01
Language Development and Disorders,7,0.01
Cryptographic Implementations and Security,7,0.01
Aquatic Invertebrate Ecology and Behavior,7,0.01
Parasitic Diseases Research and Treatment,7,0.01
Studies on Chitinases and Chitosanases,7,0.01
Combustion and Detonation Processes,7,0.01
Structural Engineering and Vibration Analysis,7,0.01
Biblical Studies and Interpretation,7,0.01
Bat Biology and Ecology Studies,7,0.01
Oil Palm Production and Sustainability,7,0.01
Complexity and Algorithms in Graphs,7,0.01
"Indigenous Health, Education, and Rights",7,0.01
Statistical and numerical algorithms,7,0.01
Computational Geometry and Mesh Generation,7,0.01
Composite Structure Analysis and Optimization,7,0.01
Axial and Atropisomeric Chirality Synthesis,7,0.01
Bone and Dental Protein Studies,7,0.01
Communication in Education and Healthcare,7,0.01
"Logic, Reasoning, and Knowledge",7,0.01
"Logic, programming, and type systems",7,0.01
Injection Molding Process and Properties,7,0.01
Microstructure and Mechanical Properties of Steels,7,0.01
Microwave Imaging and Scattering Analysis,7,0.01
Wireless Communication Networks Research,7,0.01
Plant Ecology and Soil Science,7,0.01
Ecocriticism and Environmental Literature,7,0.01
Weed Control and Herbicide Applications,7,0.01
World Systems and Global Transformations,7,0.01
Lubricants and Their Additives,7,0.01
Lymphatic System and Diseases,7,0.01
Advanced Algorithms and Applications,7,0.01
Pleistocene-Era Hominins and Archaeology,7,0.01
Political Influence and Corporate Strategies,7,0.01
Dynamics and Control of Mechanical Systems,7,0.01
Plasma Applications and Diagnostics,7,0.01
Horticultural and Viticultural Research,7,0.01
Place Attachment and Urban Studies,7,0.01
Pineapple and bromelain studies,7,0.01
thermodynamics and calorimetric analyses,7,0.01
stochastic dynamics and bifurcation,6,0.01
Plant-based Medicinal Research,6,0.01
Adaptive optics and wavefront sensing,6,0.01
Ear Surgery and Otitis Media,6,0.01
Earthquake Detection and Analysis,6,0.01
Historical Linguistics and Language Studies,6,0.01
Stochastic processes and statistical mechanics,6,0.01
Stoma care and complications,6,0.01
Global Trade and Competitiveness,6,0.01
Glass properties and applications,6,0.01
Odor and Emission Control Technologies,6,0.01
Metallurgy and Material Forming,6,0.01
Computational Fluid Dynamics and Aerodynamics,6,0.01
Optical Polarization and Ellipsometry,6,0.01
Environmental Chemistry and Analysis,6,0.01
Avian ecology and behavior,6,0.01
Research in Cotton Cultivation,6,0.01
Color Science and Applications,6,0.01
Geotechnical Engineering and Underground Structures,6,0.01
Geotechnical and Geomechanical Engineering,6,0.01
Model-Driven Software Engineering Techniques,6,0.01
Biomimetic flight and propulsion mechanisms,6,0.01
Biofield Effects and Biophysics,6,0.01
Epoxy Resin Curing Processes,6,0.01
"Communism, Protests, Social Movements",6,0.01
Control and Dynamics of Mobile Robots,6,0.01
Regulation and Compliance Studies,6,0.01
Oral and Maxillofacial Pathology,6,0.01
"Religion, Ecology, and Ethics",6,0.01
"Religion, Society, and Development",6,0.01
"Religion, Spirituality, and Psychology",6,0.01
Connexins and lens biology,6,0.01
ICT in Developing Communities,6,0.01
Ichthyology and Marine Biology,6,0.01
Ion-surface interactions and analysis,6,0.01
Geophysical and Geoelectrical Methods,6,0.01
Business and Management Studies,6,0.01
Soil Mechanics and Vehicle Dynamics,6,0.01
Boron Compounds in Chemistry,6,0.01
Evacuation and Crowd Dynamics,6,0.01
Radioactive Decay and Measurement Techniques,6,0.01
Organizational Strategy and Culture,6,0.01
Emotions and Moral Behavior,6,0.01
"Recreation, Leisure, Wilderness Management",6,0.01
Superconducting Materials and Applications,6,0.01
Refrigeration and Air Conditioning Technologies,6,0.01
Evolution and Science Education,6,0.01
Risk Management in Financial Firms,6,0.01
Rocket and propulsion systems research,6,0.01
Cognitive Computing and Networks,6,0.01
Calibration and Measurement Techniques,6,0.01
"Law, logistics, and international trade",6,0.01
Learning Styles and Cognitive Differences,6,0.01
Anthropological Studies and Insights,6,0.01
"Anthropology: Ethics, History, Culture",6,0.01
Rabies epidemiology and control,6,0.01
Otolaryngology and Infectious Diseases,6,0.01
Electrowetting and Microfluidic Technologies,6,0.01
Corporate Taxation and Avoidance,6,0.01
Surface Treatment and Residual Stress,6,0.01
Art Therapy and Mental Health,6,0.01
Head and Neck Anomalies,6,0.01
Sympathectomy and Hyperhidrosis Treatments,6,0.01
"Homicide, Infanticide, and Child Abuse",6,0.01
Collaborative Teaching and Inclusion,6,0.01
SMEs Development and Digital Marketing,6,0.01
Satellite Image Processing and Photogrammetry,6,0.01
Cardiovascular Syncope and Autonomic Disorders,6,0.01
Gender Studies in Language,6,0.01
"Caribbean history, culture, and politics",6,0.01
Social Representations and Identity,6,0.01
Social Work Education and Practice,6,0.01
Nitrogen and Sulfur Effects on Brassica,6,0.01
Land Rights and Reforms,6,0.01
Thermodynamic and Exergetic Analyses of Power and Cooling Systems,6,0.01
Thermography and Photoacoustic Techniques,6,0.01
Travel-related health issues,6,0.01
Psychological Testing and Assessment,6,0.01
Educational Technology and E-Learning,6,0.01
Data Mining and Machine Learning Applications,6,0.01
Nonlinear Dynamics and Pattern Formation,6,0.01
Science and Education Research,6,0.01
Coagulation and Flocculation Studies,6,0.01
Coconut Research and Applications,6,0.01
Climate Change and Sustainable Development,6,0.01
Cassava research and cyanide,6,0.01
Smart Parking Systems Research,6,0.01
Marine and environmental studies,6,0.01
Educational Research and Analysis,6,0.01
Diatoms and Algae Research,6,0.01
Mathematics Education and Teaching Techniques,6,0.01
Hearing Impairment and Communication,6,0.01
Mathematics and Applications,6,0.01
Agricultural pest management studies,6,0.01
Education Pedagogy and Practices,6,0.01
Disability Rights and Representation,6,0.01
African cultural and philosophical studies,6,0.01
Material Dynamics and Properties,6,0.01
Second Language Acquisition and Learning,6,0.01
Cleft Lip and Palate Research,6,0.01
Security in Wireless Sensor Networks,6,0.01
"Names, Identity, and Discrimination Research",6,0.01
Formal Methods in Verification,6,0.01
Herbal Medicine Research Studies,6,0.01
Urban and Freight Transport Logistics,6,0.01
Heat Transfer Mechanisms,6,0.01
Heat Transfer and Numerical Methods,6,0.01
Agricultural Systems and Practices,6,0.01
Ultrasound and Cavitation Phenomena,6,0.01
Underground infrastructure and sustainability,6,0.01
Economic and Technological Developments in Russia,6,0.01
"Economic, financial, and policy analysis",6,0.01
Education Discipline and Inequality,6,0.01
High-Velocity Impact and Material Behavior,6,0.01
Magnetic and Electromagnetic Effects,6,0.01
IoT and GPS-based Vehicle Safety Systems,6,0.01
Shoulder Injury and Treatment,6,0.01
Chromatography in Natural Products,6,0.01
Sensor Technology and Measurement Systems,6,0.01
Distributed Sensor Networks and Detection Algorithms,6,0.01
Pigment Synthesis and Properties,6,0.01
Postcolonial and Cultural Literary Studies,6,0.01
Historical Gender and Feminism Studies,6,0.01
Magnetic Field Sensors Techniques,6,0.01
Hidradenitis Suppurativa and Treatments,6,0.01
Usability and User Interface Design,6,0.01
"Literacy, Media, and Education",6,0.01
Video Coding and Compression Technologies,6,0.01
Advanced Measurement and Detection Methods,6,0.01
Diverse Topics in Contemporary Research,6,0.01
Food Industry and Aquatic Biology,6,0.01
Food Quality and Safety Studies,6,0.01
Sexual Assault and Victimization Studies,6,0.01
Chemotherapy-related skin toxicity,6,0.01
Shape Memory Alloy Transformations,6,0.01
Adult and Continuing Education Topics,6,0.01
Advanced Adaptive Filtering Techniques,6,0.01
Abdominal Trauma and Injuries,6,0.01
Wood Treatment and Properties,6,0.01
advanced mathematical theories,5,0.01
"Innovation, Technology, and Society",5,0.01
Youth Education and Societal Dynamics,5,0.01
Linguistic research and analysis,5,0.01
Vibration and Dynamic Analysis,5,0.01
Political theory and Gramsci,5,0.01
Magnetic Properties and Synthesis of Ferrites,5,0.01
Heterotopic Ossification and Related Conditions,5,0.01
Natural Compounds in Disease Treatment,5,0.01
Silicon Nanostructures and Photoluminescence,5,0.01
Fluid Dynamics Simulations and Interactions,5,0.01
Nerve Injury and Rehabilitation,5,0.01
Network Time Synchronization Technologies,5,0.01
Vector-Borne Animal Diseases,5,0.01
"Philosophy, Ethics, and Existentialism",5,0.01
Photography and Visual Culture,5,0.01
African Botany and Ecology Studies,5,0.01
Heat and Mass Transfer in Porous Media,5,0.01
Agricultural Development and Policies,5,0.01
Agricultural Economics and Practices,5,0.01
"Categorization, perception, and language",5,0.01
Cavitation Phenomena in Pumps,5,0.01
Cardiovascular Conditions and Treatments,5,0.01
Neurological and metabolic disorders,5,0.01
Neuroscience and Music Perception,5,0.01
Facilities and Workplace Management,5,0.01
Clinical Laboratory Practices and Quality Control,5,0.01
Scientific and Engineering Research Topics,5,0.01
Freshwater macroinvertebrate diversity and ecology,5,0.01
Intestinal and Peritoneal Adhesions,5,0.01
"Hydropower, Displacement, Environmental Impact",5,0.01
University Challenges and Reforms,5,0.01
Education and Communication Studies,5,0.01
Education and Digital Technologies,5,0.01
Education and Islamic Studies,5,0.01
Digital and Cyber Forensics,5,0.01
Direction-of-Arrival Estimation Techniques,5,0.01
Power Transformer Diagnostics and Insulation,5,0.01
"Cardiovascular, Neuropeptides, and Oxidative Stress Research",5,0.01
Coal Properties and Utilization,5,0.01
Ferrocene Chemistry and Applications,5,0.01
Fusion and Plasma Physics Studies,5,0.01
Fusion materials and technologies,5,0.01
Fuzzy Systems and Optimization,5,0.01
Marketing and Advertising Strategies,5,0.01
Mathematical Dynamics and Fractals,5,0.01
Marine Ecology and Invasive Species,5,0.01
Phenothiazines and Benzothiazines Synthesis and Activities,5,0.01
Pregnancy-related medical research,5,0.01
Digital Imaging in Medicine,5,0.01
Digital Innovation in Industries,5,0.01
Differential Equations and Boundary Problems,5,0.01
Indian Economic and Social Development,5,0.01
Legal Cases and Commentary,5,0.01
Geological Studies and Exploration,5,0.01
Law in Society and Culture,5,0.01
Multidisciplinary Science and Engineering Research,5,0.01
Algebraic Geometry and Number Theory,5,0.01
Alkaloids: synthesis and pharmacology,5,0.01
"Tourism, Volunteerism, and Development",5,0.01
Healthcare Decision-Making and Restraints,5,0.01
Healthcare Facilities Design and Sustainability,5,0.01
Infectious Aortic and Vascular Conditions,5,0.01
Intellectual Capital and Performance Analysis,5,0.01
Probability and Statistical Research,5,0.01
Islamic Finance and Communication,5,0.01
Pharmaceutical industry and healthcare,5,0.01
Educational Practices and Policies,5,0.01
"Psychoanalysis, Philosophy, and Politics",5,0.01
Educational Technology and Assessment,5,0.01
Educator Training and Historical Pedagogy,5,0.01
"Dental Education, Practice, Research",5,0.01
Dental Erosion and Treatment,5,0.01
Botanical Research and Applications,5,0.01
Botanical Research and Chemistry,5,0.01
Soybean genetics and cultivation,5,0.01
Islamic Finance and Banking Studies,5,0.01
European and International Law Studies,5,0.01
Retinal and Macular Surgery,5,0.01
Social and Political Issues,5,0.01
DNA and Biological Computing,5,0.01
Electrical and Bioimpedance Tomography,5,0.01
Peanut Plant Research Studies,5,0.01
Public-Private Partnership Projects,5,0.01
Temporomandibular Joint Disorders,5,0.01
Theatre and Performance Studies,5,0.01
Themes in Literature Analysis,5,0.01
Theology and Philosophy of Evil,5,0.01
Space Satellite Systems and Control,5,0.01
Molecular Spectroscopy and Structure,5,0.01
Spatial Neglect and Hemispheric Dysfunction,5,0.01
Biological Control of Invasive Species,5,0.01
Enzyme function and inhibition,5,0.01
Ergonomics and Human Factors,5,0.01
Ergonomics and Musculoskeletal Disorders,5,0.01
Geological formations and processes,5,0.01
Medical and Biological Sciences,5,0.01
Amphibian and Reptile Biology,5,0.01
Parasite Biology and Host Interactions,5,0.01
Quality and Management Systems,5,0.01
Biliary and Gastrointestinal Fistulas,5,0.01
Sports and Physical Education Research,5,0.01
Oil Spill Detection and Mitigation,5,0.01
Older Adults Driving Studies,5,0.01
Open Education and E-Learning,5,0.01
"Colonialism, slavery, and trade",5,0.01
Color perception and design,5,0.01
Ocular Disorders and Treatments,5,0.01
Cultural Heritage Management and Preservation,5,0.01
"Historical, Religious, and Philosophical Studies",5,0.01
Cryptography and Residue Arithmetic,5,0.01
Quinazolinone synthesis and applications,5,0.01
Technology and Data Analysis,5,0.01
Legal case studies and regulations,5,0.01
Lepidoptera: Biology and Taxonomy,5,0.01
"Rabbits: Nutrition, Reproduction, Health",5,0.01
Electronic Packaging and Soldering Technologies,5,0.01
Radiation Shielding Materials Analysis,5,0.01
Surface Roughness and Optical Measurements,5,0.01
Artificial Intelligence in Education,5,0.01
Global Maritime and Colonial Histories,5,0.01
Indigenous Studies and Ecology,5,0.01
International Law and Human Rights,5,0.01
Environmental and Biological Research in Conflict Zones,5,0.01
Conferences and Exhibitions Management,5,0.01
Global and Cross-Cultural Management,5,0.01
Ginkgo biloba and Cashew Applications,5,0.01
Biomedical Research and Pathophysiology,5,0.01
"Swearing, Euphemism, Multilingualism",5,0.01
Synthesis and Characterization of Heterocyclic Compounds,5,0.01
Origins and Evolution of Life,5,0.01
Emotional Labor in Professions,5,0.01
Employee Performance and Management,5,0.01
Endodontics and Root Canal Treatments,5,0.01
Corporate Identity and Reputation,5,0.01
Reformation and Early Modern Christianity,5,0.01
International Maritime Law Issues,5,0.01
Menstrual Health and Disorders,5,0.01
Metal Alloys Wear and Properties,5,0.01
Asian American and Pacific Histories,5,0.01
