primary_topic,publication_count,percentage
Boron and Carbon Nanomaterials Research,2,0.0
Numerical Methods and Algorithms,2,0.0
Computational Fluid Dynamics and Aerodynamics,2,0.0
"Perfectionism, Procrastination, Anxiety Studies",2,0.0
Health and Wellbeing Research,2,0.0
History of Computing Technologies,2,0.0
Medical Imaging and Pathology Studies,2,0.0
Trypanosoma species research and implications,2,0.0
Educational Assessment and Pedagogy,2,0.0
Coding theory and cryptography,2,0.0
Hematological disorders and diagnostics,2,0.0
Social and Economic Solidarity,2,0.0
"Retirement, Disability, and Employment",2,0.0
Consumer Market Behavior and Pricing,2,0.0
Globalization and political ideologies,2,0.0
Soybean genetics and cultivation,2,0.0
Educational Practices and Policies,2,0.0
Advanced Mathematical Modeling in Engineering,2,0.0
Digestive system and related health,2,0.0
Auction Theory and Applications,2,0.0
Cognitive Computing and Networks,2,0.0
Metallurgical and Alloy Processes,2,0.0
Digital Media and Visual Art,2,0.0
Disability Rights and Representation,2,0.0
International Arbitration and Investment Law,2,0.0
Power Systems and Renewable Energy,2,0.0
"Religion, Theology, and Education",2,0.0
Infant Health and Development,2,0.0
Museums and Cultural Heritage,2,0.0
"Management, Economics, and Public Policy",2,0.0
Wood Treatment and Properties,2,0.0
Photopolymerization techniques and applications,2,0.0
3D IC and TSV technologies,2,0.0
Medical and Biological Sciences,2,0.0
Testicular diseases and treatments,2,0.0
High-Velocity Impact and Material Behavior,2,0.0
Diverse Educational Innovations Studies,2,0.0
Ultrasonics and Acoustic Wave Propagation,2,0.0
Microfluidic and Capillary Electrophoresis Applications,2,0.0
Patient Satisfaction in Healthcare,2,0.0
Polyomavirus and related diseases,2,0.0
Plant-based Medicinal Research,2,0.0
Place Attachment and Urban Studies,2,0.0
Cardiac Arrhythmias and Treatments,2,0.0
Oceanographic and Atmospheric Processes,2,0.0
Metallurgical Processes and Thermodynamics,2,0.0
Software Engineering Techniques and Practices,2,0.0
Electrostatics and Colloid Interactions,2,0.0
Gaze Tracking and Assistive Technology,2,0.0
Science Education and Pedagogy,2,0.0
Plant Disease Resistance and Genetics,2,0.0
High Temperature Alloys and Creep,2,0.0
Flexible and Reconfigurable Manufacturing Systems,2,0.0
Hydrology and Sediment Transport Processes,2,0.0
Digital Imaging in Medicine,2,0.0
Metallurgy and Material Forming,2,0.0
Hospital Admissions and Outcomes,2,0.0
Shape Memory Alloy Transformations,2,0.0
Evacuation and Crowd Dynamics,2,0.0
Mind wandering and attention,2,0.0
Soil Management and Crop Yield,2,0.0
Diverse Philosophical and Cultural Studies,2,0.0
Optimization and Search Problems,2,0.0
Sleep and Work-Related Fatigue,2,0.0
"Utopian, Dystopian, and Speculative Fiction",2,0.0
Blood Coagulation and Thrombosis Mechanisms,2,0.0
Dysphagia Assessment and Management,2,0.0
Cognitive Radio Networks and Spectrum Sensing,2,0.0
Listeria monocytogenes in Food Safety,2,0.0
Libraries and Information Services,2,0.0
European Political History Analysis,2,0.0
American Environmental and Regional History,2,0.0
Economic and Social Development,2,0.0
Social Sciences and Policies,2,0.0
Global Trade and Competitiveness,2,0.0
Educational Technology and Assessment,2,0.0
Economic Growth and Development,2,0.0
Persona Design and Applications,2,0.0
Hermeneutics and Narrative Identity,2,0.0
Advanced Data Storage Technologies,2,0.0
Oral and Maxillofacial Pathology,2,0.0
Graph Labeling and Dimension Problems,2,0.0
Efficiency Analysis Using DEA,2,0.0
Diatoms and Algae Research,2,0.0
Digital Storytelling and Education,2,0.0
Personal Information Management and User Behavior,2,0.0
Digital Innovation in Industries,2,0.0
Jury Decision Making Processes,2,0.0
Music Therapy and Health,2,0.0
Wildlife Conservation and Criminology Analyses,2,0.0
Asian Geopolitics and Ethnography,2,0.0
Organizational Learning and Leadership,2,0.0
Information Retrieval and Search Behavior,2,0.0
Biofield Effects and Biophysics,2,0.0
Religious Studies and Spiritual Practices,2,0.0
African history and culture analysis,2,0.0
Wireless Communication Networks Research,2,0.0
"Sexuality, Behavior, and Technology",2,0.0
Graph Theory and Algorithms,2,0.0
Usability and User Interface Design,2,0.0
Motor Control and Adaptation,2,0.0
Neurofibromatosis and Schwannoma Cases,2,0.0
Plant Taxonomy and Phylogenetics,2,0.0
Oral health in cancer treatment,2,0.0
Free Will and Agency,2,0.0
Dermatologic Treatments and Research,2,0.0
Entomopathogenic Microorganisms in Pest Control,2,0.0
Network Time Synchronization Technologies,2,0.0
Synthetic Organic Chemistry Methods,2,0.0
Orthopaedic implants and arthroplasty,2,0.0
Youth Development and Social Support,2,0.0
Age of Information Optimization,2,0.0
Effects of Environmental Stressors on Livestock,2,0.0
Color perception and design,2,0.0
"Workaholism, burnout, and well-being",2,0.0
Trauma and Emergency Care Studies,2,0.0
Photorefractive and Nonlinear Optics,2,0.0
Policing Practices and Perceptions,2,0.0
Photography and Visual Culture,2,0.0
"Foucault, Power, and Ethics",2,0.0
Legal Systems and Judicial Processes,2,0.0
Seismic and Structural Analysis of Tall Buildings,2,0.0
Neurology and Historical Studies,2,0.0
Venomous Animal Envenomation and Studies,2,0.0
Pharmacy and Medical Practices,2,0.0
Water Systems and Optimization,2,0.0
Educational Methods and Analysis,2,0.0
Neonatal and Maternal Infections,2,0.0
Heat and Mass Transfer in Porous Media,2,0.0
Geometric and Algebraic Topology,2,0.0
Christian Theology and Mission,2,0.0
Homotopy and Cohomology in Algebraic Topology,2,0.0
"Language, Linguistics, Cultural Analysis",2,0.0
Psychoanalysis and Psychopathology Research,2,0.0
Advanced Numerical Analysis Techniques,2,0.0
Microwave Engineering and Waveguides,2,0.0
Educator Training and Historical Pedagogy,2,0.0
Psychology of Social Influence,2,0.0
Algebraic Geometry and Number Theory,2,0.0
"Rings, Modules, and Algebras",2,0.0
Nuclear Physics and Applications,2,0.0
Mobile Ad Hoc Networks,2,0.0
Nuclear and radioactivity studies,2,0.0
"Global trade, sustainability, and social impact",2,0.0
Cryptographic Implementations and Security,2,0.0
Retinopathy of Prematurity Studies,2,0.0
Thermodynamic and Structural Properties of Metals and Alloys,2,0.0
Fractal and DNA sequence analysis,2,0.0
Intraperitoneal and Appendiceal Malignancies,2,0.0
Mediterranean and Iberian flora and fauna,2,0.0
Phytoplasmas and Hemiptera pathogens,2,0.0
"Gender, Security, and Conflict",2,0.0
Historical Geopolitical and Social Dynamics,2,0.0
Human Motion and Animation,2,0.0
"Innovation, Sustainability, Human-Machine Systems",2,0.0
Political Theology and Sovereignty,2,0.0
Superconducting Materials and Applications,2,0.0
Educational Challenges and Innovations,2,0.0
Sexual function and dysfunction studies,2,0.0
World Systems and Global Transformations,2,0.0
Thin-Film Transistor Technologies,2,0.0
Hernia repair and management,2,0.0
Voice and Speech Disorders,2,0.0
Hemostasis and retained surgical items,2,0.0
Dental Radiography and Imaging,2,0.0
Identification and Quantification in Food,2,0.0
Muscle and Compartmental Disorders,2,0.0
Sugarcane Cultivation and Processing,2,0.0
Animal Disease Management and Epidemiology,2,0.0
Particle Accelerators and Free-Electron Lasers,2,0.0
Intermetallics and Advanced Alloy Properties,2,0.0
Otolaryngology and Infectious Diseases,2,0.0
Effects of Radiation Exposure,2,0.0
Access Control and Trust,2,0.0
Blockchain Technology in Education and Learning,2,0.0
Political Theory and Influence,2,0.0
Marine Sponges and Natural Products,2,0.0
Structural Analysis and Optimization,2,0.0
Gender Studies in Language,2,0.0
Constraint Satisfaction and Optimization,2,0.0
Particle Dynamics in Fluid Flows,2,0.0
Landfill Environmental Impact Studies,2,0.0
Reformation and Early Modern Christianity,2,0.0
Science Education and Perceptions,2,0.0
Walter Benjamin Studies Compilation,2,0.0
Dental Trauma and Treatments,2,0.0
Electromagnetic Fields and Biological Effects,2,0.0
Human-Animal Interaction Studies,2,0.0
Bone health and treatments,2,0.0
"Crime, Deviance, and Social Control",2,0.0
Historical Legal Studies and Society,2,0.0
Recycling and utilization of industrial and municipal waste in materials production,2,0.0
Historical Linguistics and Language Studies,2,0.0
Mathematics Education and Pedagogy,2,0.0
"Nietzsche, Schopenhauer, and Hegel",2,0.0
Geotechnical Engineering and Soil Mechanics,2,0.0
Endodontics and Root Canal Treatments,2,0.0
Silicone and Siloxane Chemistry,2,0.0
Retinoids in leukemia and cellular processes,2,0.0
Statistical and numerical algorithms,2,0.0
Management of metastatic bone disease,2,0.0
Data Analysis and Archiving,2,0.0
Plant Genetic and Mutation Studies,2,0.0
Garlic and Onion Studies,2,0.0
"Health, Nursing, Elderly Care",2,0.0
Death Anxiety and Social Exclusion,2,0.0
MRI in cancer diagnosis,2,0.0
Obsessive-Compulsive Spectrum Disorders,2,0.0
Banana Cultivation and Research,2,0.0
Historical Art and Culture Studies,2,0.0
Phytoestrogen effects and research,2,0.0
Benford’s Law and Fraud Detection,2,0.0
Academic Writing and Publishing,2,0.0
Discrimination and Equality Law,2,0.0
Historical Gender and Feminism Studies,2,0.0
Color Science and Applications,2,0.0
Islamic Studies and History,2,0.0
Mathematical Dynamics and Fractals,2,0.0
Hydraulic Fracturing and Reservoir Analysis,2,0.0
Urban Planning and Landscape Design,2,0.0
Nitrogen and Sulfur Effects on Brassica,2,0.0
Viral Infectious Diseases and Gene Expression in Insects,2,0.0
Dam Engineering and Safety,2,0.0
Apelin-related biomedical research,2,0.0
Higher Education Practises and Engagement,2,0.0
Cyberloafing and Workplace Behavior,2,0.0
Business and Economic Development,2,0.0
14-3-3 protein interactions,2,0.0
Transgenic Plants and Applications,2,0.0
Face Recognition and Perception,2,0.0
Burn Injury Management and Outcomes,2,0.0
Linguistic Education and Pedagogy,2,0.0
"Dental Education, Practice, Research",2,0.0
Occupational Therapy Practice and Research,2,0.0
Stress and Burnout Research,2,0.0
Historical Economic and Social Studies,2,0.0
Ergonomics and Human Factors,2,0.0
Nuclear Issues and Defense,2,0.0
Inertial Sensor and Navigation,2,0.0
Advanced Statistical Process Monitoring,2,0.0
Probability and Statistical Research,2,0.0
History of Science and Medicine,2,0.0
Educational Reforms and Innovations,2,0.0
Hydraulic and Pneumatic Systems,2,0.0
Ocular Infections and Treatments,2,0.0
Fire Detection and Safety Systems,2,0.0
Artificial Intelligence Applications,2,0.0
Marine Toxins and Detection Methods,2,0.0
Generational Differences and Trends,2,0.0
Historical Geography and Geographical Thought,2,0.0
Advanced Machining and Optimization Techniques,2,0.0
Big Data and Digital Economy,2,0.0
Environmental Sustainability and Education,2,0.0
Analytical Chemistry and Chromatography,2,0.0
Healthcare Systems and Technology,2,0.0
ATP Synthase and ATPases Research,2,0.0
Fuzzy Logic and Control Systems,2,0.0
Drilling and Well Engineering,2,0.0
Tendon Structure and Treatment,2,0.0
Statistical Distribution Estimation and Applications,2,0.0
Algebraic and Geometric Analysis,2,0.0
Advanced Differential Equations and Dynamical Systems,2,0.0
Advanced Combinatorial Mathematics,2,0.0
Electromagnetic Simulation and Numerical Methods,2,0.0
Marine Biology and Ecology Research,2,0.0
Plant chemical constituents analysis,2,0.0
Spacecraft and Cryogenic Technologies,2,0.0
Natural Compounds in Disease Treatment,2,0.0
Human Health and Disease,2,0.0
"Agriculture, Water, and Health",2,0.0
Neonatal Health and Biochemistry,2,0.0
Medical Malpractice and Liability Issues,2,0.0
Edible Oils Quality and Analysis,2,0.0
Oral and gingival health research,2,0.0
Surface and Thin Film Phenomena,2,0.0
Heat Transfer and Numerical Methods,2,0.0
Distributed Sensor Networks and Detection Algorithms,2,0.0
Women's cancer prevention and management,2,0.0
Inflammation biomarkers and pathways,2,0.0
Sports Analytics and Performance,2,0.0
Working Capital and Financial Performance,2,0.0
Deception detection and forensic psychology,2,0.0
Coal Properties and Utilization,2,0.0
Expert finding and Q&A systems,2,0.0
Infections and bacterial resistance,2,0.0
Surface Treatment and Residual Stress,2,0.0
"Brucella: diagnosis, epidemiology, treatment",2,0.0
Culinary Culture and Tourism,2,0.0
Underwater Acoustics Research,2,0.0
Neuropeptides and Animal Physiology,2,0.0
Sports and Physical Education Research,2,0.0
Historical and Architectural Studies,2,0.0
Coaching Methods and Impact,2,0.0
Mathematics Education and Teaching Techniques,2,0.0
Oil and Gas Production Techniques,2,0.0
Syphilis Diagnosis and Treatment,2,0.0
China's Socioeconomic Reforms and Governance,2,0.0
International Law and Aviation,2,0.0
Pharmaceutical Quality and Counterfeiting,2,0.0
Mineral Processing and Grinding,2,0.0
Aerospace Engineering and Energy Systems,2,0.0
Engineering Diagnostics and Reliability,2,0.0
Vehicle License Plate Recognition,2,0.0
Energetic Materials and Combustion,2,0.0
Power Systems Fault Detection,2,0.0
Intraoperative Neuromonitoring and Anesthetic Effects,2,0.0
Health and Conflict Studies,2,0.0
Education and Learning Interventions,2,0.0
Advanced Algorithms and Applications,2,0.0
Diverse Scientific and Economic Studies,2,0.0
Virology and Viral Diseases,2,0.0
Open Education and E-Learning,2,0.0
Marketing and Advertising Strategies,2,0.0
Irish and British Studies,2,0.0
Satellite Image Processing and Photogrammetry,2,0.0
Electronic Packaging and Soldering Technologies,2,0.0
Photonic Crystal and Fiber Optics,2,0.0
"Weber, Simmel, Sociological Theory",1,0.0
Microwave Dielectric Ceramics Synthesis,1,0.0
Fire dynamics and safety research,1,0.0
Geotechnical and construction materials studies,1,0.0
Wood and Agarwood Research,1,0.0
Historical Psychiatry and Medical Practices,1,0.0
Tribology and Lubrication Engineering,1,0.0
Fusion and Plasma Physics Studies,1,0.0
Software Reliability and Analysis Research,1,0.0
Botanical Research and Chemistry,1,0.0
Paleontology and Evolutionary Biology,1,0.0
Web Data Mining and Analysis,1,0.0
Security and Verification in Computing,1,0.0
Image and Object Detection Techniques,1,0.0
Stability and Control of Uncertain Systems,1,0.0
Nonlocal and gradient elasticity in micro/nano structures,1,0.0
Coordination Chemistry and Organometallics,1,0.0
"Counseling, Therapy, and Family Dynamics",1,0.0
Pragmatism in Philosophy and Education,1,0.0
Biometric Identification and Security,1,0.0
Mathematical Approximation and Integration,1,0.0
Cervical and Thoracic Myelopathy,1,0.0
Aerosol Filtration and Electrostatic Precipitation,1,0.0
Physical Unclonable Functions (PUFs) and Hardware Security,1,0.0
Rabies epidemiology and control,1,0.0
Capital Investment and Risk Analysis,1,0.0
Geotourism and Geoheritage Conservation,1,0.0
Neutropenia and Cancer Infections,1,0.0
Infectious Diseases and Tuberculosis,1,0.0
Psychological and Educational Research Studies,1,0.0
Neurological Complications and Syndromes,1,0.0
Microwave-Assisted Synthesis and Applications,1,0.0
Space Satellite Systems and Control,1,0.0
Carbohydrate Chemistry and Synthesis,1,0.0
Pigment Synthesis and Properties,1,0.0
Cuban History and Society,1,0.0
Crystallography and Radiation Phenomena,1,0.0
Healthcare Quality and Management,1,0.0
Biochemical and biochemical processes,1,0.0
Opportunistic and Delay-Tolerant Networks,1,0.0
Family Support in Illness,1,0.0
Blood properties and coagulation,1,0.0
Advancements in Photolithography Techniques,1,0.0
Psychiatric care and mental health services,1,0.0
Minerals Flotation and Separation Techniques,1,0.0
"Economic, financial, and policy analysis",1,0.0
Electrical and Electromagnetic Research,1,0.0
Cellular Automata and Applications,1,0.0
Appreciative Inquiry and Organizational Change,1,0.0
Congenital Diaphragmatic Hernia Studies,1,0.0
Pharmaceutical studies and practices,1,0.0
Aerospace and Aviation Technology,1,0.0
Conflict Management and Negotiation,1,0.0
Kruppel-like factors research,1,0.0
Advanced Mathematical Identities,1,0.0
Ginkgo biloba and Cashew Applications,1,0.0
Natural Resources and Economic Development,1,0.0
Geography Education and Pedagogy,1,0.0
Diagnosis and treatment of tuberculosis,1,0.0
"Diaspora, migration, transnational identity",1,0.0
Contemporary Cultural and Social Studies,1,0.0
"Balkans: History, Politics, Society",1,0.0
Social Policies and Family,1,0.0
Educational and Organizational Development,1,0.0
Jewish Identity and Society,1,0.0
Underground infrastructure and sustainability,1,0.0
Fire effects on concrete materials,1,0.0
Combustion and flame dynamics,1,0.0
Corneal Surgery and Treatments,1,0.0
Linguistics and Language Analysis,1,0.0
Ideological and Political Education,1,0.0
Library Science and Administration,1,0.0
Medical Case Reports and Studies,1,0.0
Veterinary Oncology Research,1,0.0
Ethics and Legal Issues in Pediatric Healthcare,1,0.0
Finite Group Theory Research,1,0.0
History of Medical Practice,1,0.0
Global Urban Networks and Dynamics,1,0.0
Kantian Philosophy and Modern Interpretations,1,0.0
"Multiculturalism, Politics, Migration, Gender",1,0.0
Social and Economic Development in India,1,0.0
Congenital gastrointestinal and neural anomalies,1,0.0
Plant and Fungal Species Descriptions,1,0.0
Iterative Learning Control Systems,1,0.0
Nanowire Synthesis and Applications,1,0.0
Mast cells and histamine,1,0.0
Economics of Agriculture and Food Markets,1,0.0
Subcritical and Supercritical Water Processes,1,0.0
Pediatric Urology and Nephrology Studies,1,0.0
Organic and Molecular Conductors Research,1,0.0
Copper Interconnects and Reliability,1,0.0
Clusterin in disease pathology,1,0.0
Educational Assessment and Improvement,1,0.0
Occupational and Professional Licensing Regulation,1,0.0
Histiocytic Disorders and Treatments,1,0.0
Heavy Metals in Plants,1,0.0
Drug-Induced Ocular Toxicity,1,0.0
"Adhesion, Friction, and Surface Interactions",1,0.0
Sustainable Industrial Ecology,1,0.0
Family Caregiving in Mental Illness,1,0.0
Magnesium Oxide Properties and Applications,1,0.0
Indigenous Health and Education,1,0.0
Maritime Navigation and Safety,1,0.0
Burkholderia infections and melioidosis,1,0.0
Oil Spill Detection and Mitigation,1,0.0
Enzyme function and inhibition,1,0.0
Accounting Education and Careers,1,0.0
Local Government Finance and Decentralization,1,0.0
Anorectal Disease Treatments and Outcomes,1,0.0
Agriculture and Farm Safety,1,0.0
Nonlinear Photonic Systems,1,0.0
Fish Biology and Ecology Studies,1,0.0
Electrical and Bioimpedance Tomography,1,0.0
Food and Agricultural Sciences,1,0.0
Fetal and Pediatric Neurological Disorders,1,0.0
Older Adults Driving Studies,1,0.0
Botany and Geology in Latin America and Caribbean,1,0.0
Geophysical Methods and Applications,1,0.0
Hip disorders and treatments,1,0.0
Information Systems and Technology Applications,1,0.0
Odor and Emission Control Technologies,1,0.0
Pressure Ulcer Prevention and Management,1,0.0
Medicinal plant effects and applications,1,0.0
Peripheral Nerve Disorders,1,0.0
Fern and Epiphyte Biology,1,0.0
Studies on Chitinases and Chitosanases,1,0.0
Phonocardiography and Auscultation Techniques,1,0.0
Ureteral procedures and complications,1,0.0
Socio-political and Technological Issues,1,0.0
"Law, logistics, and international trade",1,0.0
Electric Power System Optimization,1,0.0
Urologic and reproductive health conditions,1,0.0
Engineering Applied Research,1,0.0
Cephalopods and Marine Biology,1,0.0
Legal Studies and Policies,1,0.0
Astronomical and nuclear sciences,1,0.0
Healthcare Facilities Design and Sustainability,1,0.0
Historical and Literary Analyses,1,0.0
Engineering Structural Analysis Methods,1,0.0
Aquatic Invertebrate Ecology and Behavior,1,0.0
Financial Analysis and Corporate Governance,1,0.0
Engineering and Technology Innovations,1,0.0
Writing and Handwriting Education,1,0.0
Fisheries and Aquaculture Studies,1,0.0
Composite Material Mechanics,1,0.0
Legal and Regulatory Analysis,1,0.0
Technology and Data Analysis,1,0.0
Structural mechanics and materials,1,0.0
Assisted Reproductive Technology and Twin Pregnancy,1,0.0
Rheology and Fluid Dynamics Studies,1,0.0
Geophysics and Sensor Technology,1,0.0
Pharmaceutical industry and healthcare,1,0.0
Approximation Theory and Sequence Spaces,1,0.0
Decision Support System Applications,1,0.0
Parasitic Infections and Diagnostics,1,0.0
Rhetoric and Communication Studies,1,0.0
Economic Policies and Impacts,1,0.0
Lightning and Electromagnetic Phenomena,1,0.0
Cybersecurity and Cyber Warfare Studies,1,0.0
Human Behavior and Motivation,1,0.0
Marine and environmental studies,1,0.0
Islamic Finance and Communication,1,0.0
French Literature and Poetry,1,0.0
Cancer-related gene regulation,1,0.0
Advanced Photonic Communication Systems,1,0.0
Primate Behavior and Ecology,1,0.0
Microscopic Colitis,1,0.0
Bone and Dental Protein Studies,1,0.0
Paleontology and Stratigraphy of Fossils,1,0.0
Linguistics and language evolution,1,0.0
Indigenous Studies and Ecology,1,0.0
Fecal contamination and water quality,1,0.0
Disability Education and Employment,1,0.0
Agricultural and Food Production Studies,1,0.0
English Language Learning and Teaching,1,0.0
Sunflower and Safflower Cultivation,1,0.0
Teacher Education and Assessments,1,0.0
Leadership and Management in Organizations,1,0.0
Intravenous Infusion Technology and Safety,1,0.0
Cyclization and Aryne Chemistry,1,0.0
Healthcare Systems and Practices,1,0.0
European Criminal Justice and Data Protection,1,0.0
"History, Culture, and Society",1,0.0
Social Development and Education Research,1,0.0
Leaf Properties and Growth Measurement,1,0.0
Powder Metallurgy Techniques and Materials,1,0.0
Optical Coatings and Gratings,1,0.0
Psychological Testing and Assessment,1,0.0
Environmental Sustainability and Technology,1,0.0
Milk Quality and Mastitis in Dairy Cows,1,0.0
Archaeology and ancient environmental studies,1,0.0
Renal function and acid-base balance,1,0.0
FOXO transcription factor regulation,1,0.0
"Oil, Gas, and Environmental Issues",1,0.0
Pelvic and Acetabular Injuries,1,0.0
Metal-Catalyzed Oxygenation Mechanisms,1,0.0
Legionella and Acanthamoeba research,1,0.0
Genome Rearrangement Algorithms,1,0.0
Education and Communication Studies,1,0.0
Political Science Research and Education,1,0.0
"Cultural, Media, and Literary Studies",1,0.0
Digital Humanities and Scholarship,1,0.0
Russia and Soviet political economy,1,0.0
Competency Development and Evaluation,1,0.0
Medical Research and Practices,1,0.0
Coal Combustion and Slurry Processing,1,0.0
Intraocular Surgery and Lenses,1,0.0
Education Practices and Challenges,1,0.0
"Aging, Elder Care, and Social Issues",1,0.0
Analog and Mixed-Signal Circuit Design,1,0.0
Innovative Teaching Methodologies in Social Sciences,1,0.0
"Educational, Social, and Political Issues",1,0.0
Organizational Strategy and Culture,1,0.0
Surfactants and Colloidal Systems,1,0.0
Nonlinear Partial Differential Equations,1,0.0
African Education and Politics,1,0.0
NMR spectroscopy and applications,1,0.0
Infrared Thermography in Medicine,1,0.0
Youth Education and Societal Dynamics,1,0.0
Optics and Image Analysis,1,0.0
Pelvic floor disorders treatments,1,0.0
Asian American and Pacific Histories,1,0.0
Advanced Mathematical Theories and Applications,1,0.0
Property Rights and Legal Doctrine,1,0.0
Maritime and Coastal Archaeology,1,0.0
Plant Ecology and Soil Science,1,0.0
Minimally Invasive Surgical Techniques,1,0.0
Financial Risk and Volatility Modeling,1,0.0
Greenhouse Technology and Climate Control,1,0.0
Healthcare Operations and Scheduling Optimization,1,0.0
Granular flow and fluidized beds,1,0.0
"Yersinia bacterium, plague, ectoparasites research",1,0.0
Inorganic Chemistry and Materials,1,0.0
Refrigeration and Air Conditioning Technologies,1,0.0
Agricultural safety and regulations,1,0.0
Ocular Diseases and Behçet’s Syndrome,1,0.0
Aerospace Engineering and Control Systems,1,0.0
Geometric Analysis and Curvature Flows,1,0.0
Fungal Plant Pathogen Control,1,0.0
Statistical and Computational Modeling,1,0.0
Social Robot Interaction and HRI,1,0.0
Aviation Industry Analysis and Trends,1,0.0
Cambodian History and Society,1,0.0
Global socioeconomic and cultural dynamics,1,0.0
Astronomical Observations and Instrumentation,1,0.0
Embedded Systems Design Techniques,1,0.0
Infection Control in Healthcare,1,0.0
Arts and Performance Studies,1,0.0
Particle accelerators and beam dynamics,1,0.0
Lichen and fungal ecology,1,0.0
Healthcare Decision-Making and Restraints,1,0.0
Scoliosis diagnosis and treatment,1,0.0
Diverse Education and Engineering Focus,1,0.0
Diverse academic and cultural studies,1,0.0
Laser-induced spectroscopy and plasma,1,0.0
Taxation and Compliance Studies,1,0.0
"Leadership, Behavior, and Decision-Making Studies",1,0.0
Urban and Rural Development Challenges,1,0.0
Palliative and Oncologic Care,1,0.0
Autoimmune Bullous Skin Diseases,1,0.0
Electrical and Thermal Properties of Materials,1,0.0
"Agriculture, Soil, Plant Science",1,0.0
"Colonialism, slavery, and trade",1,0.0
Paranormal Experiences and Beliefs,1,0.0
Feminist Theory and Gender Studies,1,0.0
Early Modern Women Writers,1,0.0
Post-Communist Economic and Political Transition,1,0.0
Chaos control and synchronization,1,0.0
"Art, Technology, and Culture",1,0.0
Information Science and Libraries,1,0.0
Magneto-Optical Properties and Applications,1,0.0
Infectious Diseases and Mycology,1,0.0
"Leadership, Courage, and Heroism Studies",1,0.0
Environmental and Air Quality Management,1,0.0
"Terrorism, Counterterrorism, and Political Violence",1,0.0
Animal health and immunology,1,0.0
Economic Zones and Regional Development,1,0.0
Historical Philosophy and Science,1,0.0
Geotechnical Engineering and Underground Structures,1,0.0
Feminist Epistemology and Gender Studies,1,0.0
Aquatic Ecosystems and Biodiversity,1,0.0
Giambattista Vico and Joyce,1,0.0
Inorganic and Organometallic Chemistry,1,0.0
Space Exploration and Technology,1,0.0
Comparative International Legal Studies,1,0.0
Political Influence and Corporate Strategies,1,0.0
Point processes and geometric inequalities,1,0.0
Educational Research and Pedagogy,1,0.0
Cutaneous lymphoproliferative disorders research,1,0.0
Pomegranate: compositions and health benefits,1,0.0
Groundwater and Watershed Analysis,1,0.0
Berry genetics and cultivation research,1,0.0
Fiscal Policies and Political Economy,1,0.0
Semiotics and Representation Studies,1,0.0
Lubricants and Their Additives,1,0.0
Spacecraft Design and Technology,1,0.0
International Science and Diplomacy,1,0.0
Cultural Heritage Materials Analysis,1,0.0
Spaceflight effects on biology,1,0.0
Cardiovascular Conditions and Treatments,1,0.0
Employee Performance and Leadership,1,0.0
Foot and Ankle Surgery,1,0.0
ICT in Developing Communities,1,0.0
Herbal Medicine Research Studies,1,0.0
Synthesis and characterization of novel inorganic/organometallic compounds,1,0.0
Microbial Metabolism and Applications,1,0.0
Diverse Applied Research Studies,1,0.0
Experience-Based Knowledge Management,1,0.0
Respiratory and Cough-Related Research,1,0.0
Arctic and Russian Policy Studies,1,0.0
Workplace Violence and Bullying,1,0.0
"Ecology, Conservation, and Geographical Studies",1,0.0
Biomimetic flight and propulsion mechanisms,1,0.0
Phytochemistry and Bioactivity Studies,1,0.0
Environmental Engineering and Cultural Studies,1,0.0
Educational Theory and Curriculum Studies,1,0.0
Sensorless Control of Electric Motors,1,0.0
Cold Fusion and Nuclear Reactions,1,0.0
Public Health and Nutrition,1,0.0
"Technology, Environment, Urban Planning",1,0.0
Regional Socio-Economic Development Trends,1,0.0
"Homicide, Infanticide, and Child Abuse",1,0.0
Material Selection and Properties,1,0.0
Interdisciplinary Cultural and Social Studies,1,0.0
Biomedical and Chemical Research,1,0.0
New Zealand Economic and Social Studies,1,0.0
"Memory, violence, and history",1,0.0
Global Healthcare and Medical Tourism,1,0.0
Transportation Systems and Logistics,1,0.0
Consumer behavior in food and health,1,0.0
Advanced Research in Systems and Signal Processing,1,0.0
Meromorphic and Entire Functions,1,0.0
Aquatic and Environmental Studies,1,0.0
Innovations in Educational Methods,1,0.0
Asian Industrial and Economic Development,1,0.0
Doctoral Education Challenges and Solutions,1,0.0
French Historical and Cultural Studies,1,0.0
Narrative Theory and Analysis,1,0.0
Veterinary Practice and Education Studies,1,0.0
Geotechnical Engineering and Soil Stabilization,1,0.0
"Dietetics, Nutrition, and Education",1,0.0
Evolution and Science Education,1,0.0
Digital and Cyber Forensics,1,0.0
Skin and Cellular Biology Research,1,0.0
Breast Lesions and Carcinomas,1,0.0
Connective Tissue Growth Factor Research,1,0.0
Historical and Cultural Archaeology Studies,1,0.0
Wine Industry and Tourism,1,0.0
Infectious Encephalopathies and Encephalitis,1,0.0
Postmodernism in Literature and Education,1,0.0
Parasitic Diseases Research and Treatment,1,0.0
Slime Mold and Myxomycetes Research,1,0.0
X-ray Spectroscopy and Fluorescence Analysis,1,0.0
Public Health Policies and Education,1,0.0
Karst Systems and Hydrogeology,1,0.0
Freshwater macroinvertebrate diversity and ecology,1,0.0
Global Security and Public Health,1,0.0
Biological Research and Disease Studies,1,0.0
Nausea and vomiting management,1,0.0
Korean Urban and Social Studies,1,0.0
Alkaline Phosphatase Research Studies,1,0.0
Blood groups and transfusion,1,0.0
